Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
啊	None	None	1	3506	635	10	4	21018.177	7115.563	1.000	1.000	806.277	0.041
嗯	None	None	2	1313	101	9	4	7871.325	1131.767	0.900	1.000	613.178	0.016
哎呀	None	None	3	524	3	10	2	3141.336	33.617	1.000	0.500	418.987	0.006
朋友	None	None	4	523	5	10	1	3135.341	56.028	1.000	0.250	402.781	0.006
呢	None	None	5	940	107	10	4	5635.221	1199.000	1.000	1.000	341.563	0.011
人	None	None	6	783	90	10	4	4694.019	1008.505	1.000	1.000	282.220	0.009
能	None	None	7	623	56	10	4	3734.833	627.514	1.000	1.000	265.837	0.007
听	None	None	8	502	31	10	4	3009.448	347.374	1.000	1.000	259.480	0.006
山西	None	None	9	297	0	8	0	1780.490	0.000	0.800	0.000	254.729	0.004
里头	None	None	10	291	0	9	0	1744.521	0.000	0.900	0.000	249.579	0.003
吧	None	None	11	1274	270	10	4	7637.523	3025.515	1.000	1.000	230.935	0.015
单	None	None	12	317	5	10	2	1900.388	56.028	1.000	0.500	230.850	0.004
那	None	None	13	900	150	10	4	5395.425	1680.842	1.000	1.000	227.115	0.011
啥	None	None	14	287	2	10	1	1720.541	22.411	1.000	0.250	226.478	0.003
呀	None	None	15	548	54	10	4	3285.214	605.103	1.000	1.000	220.495	0.007
吃	None	None	16	859	147	10	3	5149.633	1647.225	1.000	0.750	209.965	0.010
未	None	None	17	340	14	10	4	2038.272	156.879	1.000	1.000	203.230	0.004
孩子	None	None	18	233	0	10	0	1396.816	0.000	1.000	0.000	199.806	0.003
欸	None	None	19	199	0	8	0	1192.988	0.000	0.800	0.000	170.636	0.002
其实	None	None	20	427	50	10	4	2559.829	560.281	1.000	1.000	151.481	0.005
写	None	None	21	244	9	9	4	1462.760	100.851	0.900	1.000	150.474	0.003
里	None	None	22	260	12	10	2	1558.678	134.467	1.000	0.500	149.884	0.003
没	None	None	23	648	116	10	4	3884.706	1299.851	1.000	1.000	149.557	0.008
得	None	None	24	425	51	10	4	2547.839	571.486	1.000	1.000	147.829	0.005
刚才	None	None	25	186	2	10	2	1115.054	22.411	1.000	0.500	141.545	0.002
老师	None	None	26	226	8	8	2	1354.851	89.645	0.800	0.500	140.914	0.003
着	None	None	27	364	39	10	4	2182.150	437.019	1.000	1.000	138.101	0.004
叫	None	None	28	312	28	10	4	1870.414	313.757	1.000	1.000	133.121	0.004
后来	None	None	29	166	2	10	2	995.156	22.411	1.000	0.500	124.842	0.002
当时	None	None	30	183	5	9	3	1097.070	56.028	0.900	0.750	121.308	0.002
清	None	None	31	212	12	10	4	1270.922	134.467	1.000	1.000	113.479	0.003
他	None	None	32	1087	307	10	4	6516.474	3440.123	1.000	1.000	109.512	0.013
咱	None	None	33	126	0	8	0	755.359	0.000	0.800	0.000	108.022	0.002
挺	None	None	34	142	2	9	2	851.278	22.411	0.900	0.500	104.879	0.002
醋	None	None	35	112	0	6	0	671.431	0.000	0.600	0.000	96.016	0.001
有人	None	None	36	145	4	10	3	869.263	44.822	1.000	0.750	95.911	0.002
别	None	None	36	145	4	10	1	869.263	44.822	1.000	0.250	95.911	0.002
讲	None	None	38	200	16	10	4	1198.983	179.290	1.000	1.000	91.129	0.002
羊	None	None	39	104	0	8	0	623.471	0.000	0.800	0.000	89.156	0.001
过	None	None	40	502	108	10	4	3009.448	1210.206	1.000	1.000	88.493	0.006
小时候	None	None	41	100	0	9	0	599.492	0.000	0.900	0.000	85.726	0.001
斤	None	None	42	118	2	10	1	707.400	22.411	1.000	0.250	85.032	0.001
牛肉	None	None	43	98	0	10	0	587.502	0.000	1.000	0.000	84.011	0.001
啧	None	None	44	185	15	9	4	1109.060	168.084	0.900	1.000	83.673	0.002
咋	None	None	45	92	0	9	0	551.532	0.000	0.900	0.000	78.866	0.001
书	None	None	46	102	1	7	1	611.481	11.206	0.700	0.250	78.288	0.001
理解	None	None	47	91	0	10	0	545.537	0.000	1.000	0.000	78.009	0.001
