Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
颜色	None	None	1	429	20	4	7	4807.207	119.898	1.000	0.700	759.230	0.010
好不	None	None	2	391	17	4	6	4381.394	101.914	1.000	0.600	698.551	0.009
女生	None	None	3	291	2	4	2	3260.833	11.990	1.000	0.200	591.839	0.007
真的	None	None	4	620	191	4	10	6947.479	1145.029	1.000	1.000	587.286	0.014
哦	None	None	5	553	150	4	8	6196.703	899.237	1.000	0.800	567.095	0.012
佳琦	None	None	6	234	0	4	0	2622.113	0.000	1.000	0.000	493.685	0.005
支	None	None	7	249	4	4	4	2790.197	23.980	1.000	0.400	487.667	0.006
你们	None	None	8	632	258	4	10	7081.947	1546.688	1.000	1.000	483.548	0.014
美眉们	None	None	9	228	0	4	0	2554.879	0.000	1.000	0.000	481.017	0.005
送	None	None	10	296	34	4	7	3316.861	203.827	1.000	0.700	434.773	0.007
毫升	None	None	11	217	10	2	4	2431.618	59.949	0.500	0.400	384.346	0.005
会	None	None	12	793	502	4	10	8886.050	3009.448	1.000	1.000	374.649	0.018
来	None	None	13	784	496	4	10	8785.200	2973.478	1.000	1.000	370.690	0.017
所有	None	None	14	248	41	4	9	2778.992	245.792	1.000	0.900	322.290	0.006
咯	None	None	15	176	8	4	3	1972.188	47.959	1.000	0.300	312.275	0.004
好	None	None	16	1003	821	4	10	11239.229	4921.826	1.000	1.000	309.947	0.022
口红	None	None	17	145	0	4	0	1624.814	0.000	1.000	0.000	305.822	0.003
面膜	None	None	18	142	0	2	0	1591.197	0.000	0.500	0.000	299.491	0.003
优惠券	None	None	19	145	1	3	1	1624.814	5.995	0.750	0.100	294.717	0.003
买	None	None	20	673	463	4	10	7541.377	2775.646	1.000	1.000	281.078	0.015
瓶	None	None	21	274	76	3	6	3070.338	455.614	0.750	0.600	276.854	0.006
多多	None	None	22	140	4	3	3	1568.786	23.980	0.750	0.300	262.139	0.003
只	None	None	23	290	103	4	10	3249.627	617.476	1.000	1.000	247.887	0.006
号色	None	None	24	117	0	4	0	1311.057	0.000	1.000	0.000	246.743	0.003
我们	None	None	25	1224	1211	4	10	13715.669	7259.844	1.000	1.000	245.040	0.027
精华	None	None	26	124	2	2	2	1389.496	11.990	0.500	0.200	242.683	0.003
皮肤	None	None	27	137	7	4	2	1535.169	41.964	1.000	0.200	238.944	0.003
块钱	None	None	28	271	94	4	9	3036.721	563.522	1.000	0.900	235.765	0.006
家	None	None	29	217	53	4	8	2431.618	317.731	1.000	0.800	235.711	0.005
里面	None	None	30	214	52	4	8	2398.001	311.736	1.000	0.800	233.091	0.005
好看	None	None	31	157	18	4	8	1759.281	107.908	1.000	0.800	230.590	0.004
就是	None	None	32	1218	1235	4	10	13648.435	7403.722	1.000	1.000	227.899	0.027
用	None	None	33	451	274	4	10	5053.731	1642.607	1.000	1.000	224.833	0.010
可以	None	None	34	819	721	4	10	9177.396	4322.335	1.000	1.000	217.159	0.018
直播间	None	None	35	259	95	4	9	2902.253	569.517	1.000	0.900	215.935	0.006
诶	None	None	36	101	0	4	0	1131.767	0.000	1.000	0.000	212.988	0.002
抢	None	None	37	102	1	3	1	1142.972	5.995	0.750	0.100	204.694	0.002
帮	None	None	38	144	20	4	10	1613.608	119.898	1.000	1.000	199.210	0.003
产品	None	None	39	212	67	3	9	2375.590	401.659	0.750	0.900	196.962	0.005
一点点	None	None	40	149	27	4	9	1669.636	161.863	1.000	0.900	186.514	0.003
肌肤	None	None	41	93	1	3	1	1042.122	5.995	0.750	0.100	185.893	0.002
铺价	None	None	42	88	0	2	0	986.094	0.000	0.500	0.000	185.566	0.002
款	None	None	43	153	30	4	7	1714.459	179.847	1.000	0.700	185.095	0.003
的	None	None	44	5322	7854	4	10	59636.266	47084.073	1.000	1.000	183.817	0.104
涂	None	None	45	89	1	4	1	997.299	5.995	1.000	0.100	177.543	0.002
关注	None	None	46	150	33	4	7	1680.842	197.832	1.000	0.700	171.907	0.003
活动	None	None	47	86	1	3	1	963.683	5.995	0.750	0.100	171.283	0.002
红色	None	None	48	108	10	4	6	1210.206	59.949	1.000	0.600	167.828	0.002
跟	None	None	49	448	332	4	10	5020.114	1990.312	1.000	1.000	165.491	0.010
很	None	None	50	789	772	4	10	8841.228	4628.075	1.000	1.000	162.118	0.017
李佳琦	None	None	51	76	0	4	0	851.626	0.000	1.000	0.000	160.254	0.002
成分	None	None	52	80	2	3	2	896.449	11.990	0.750	0.200	151.599	0.002
数量	None	None	53	92	8	2	4	1030.916	47.959	0.500	0.400	145.100	0.002
没有	None	None	54	618	575	4	10	6925.068	3447.077	1.000	1.000	143.991	0.014
填	None	None	55	79	3	2	2	885.243	17.985	0.500	0.200	143.414	0.002
品牌	None	None	56	120	25	4	5	1344.673	149.873	1.000	0.500	141.165	0.003
支持	None	None	57	109	19	4	7	1221.412	113.903	1.000	0.700	138.616	0.002
加好	None	None	58	70	1	2	1	784.393	5.995	0.500	0.100	137.945	0.002
力度	None	None	59	71	2	2	2	795.598	11.990	0.500	0.200	133.088	0.002
它	None	None	60	940	1047	4	10	10533.275	6276.677	1.000	1.000	131.165	0.021
天猫店	None	None	61	62	0	2	0	694.748	0.000	0.500	0.000	130.728	0.001
手价	None	None	62	61	0	3	0	683.542	0.000	0.750	0.000	128.619	0.001
包包	None	None	63	63	1	4	1	705.954	5.995	1.000	0.100	123.391	0.001
以及	None	None	64	95	16	3	7	1064.533	95.919	0.750	0.700	122.476	0.002
哑光	None	None	65	58	0	4	0	649.925	0.000	1.000	0.000	122.292	0.001
喽	None	None	66	62	1	3	1	694.748	5.995	0.750	0.100	121.314	0.001
的话	None	None	67	237	141	4	10	2655.730	845.283	1.000	1.000	121.275	0.005
头发	None	None	68	81	9	2	5	907.655	53.954	0.500	0.500	119.993	0.002
一定	None	None	69	147	56	4	9	1647.225	335.715	1.000	0.900	118.844	0.003
眼膜	None	None	70	56	0	2	0	627.514	0.000	0.500	0.000	118.074	0.001
加货	None	None	71	65	3	3	2	728.365	17.985	0.750	0.200	115.033	0.001
要	None	None	72	506	479	4	10	5670.040	2871.565	1.000	1.000	112.901	0.011
美眉	None	None	73	52	0	4	0	582.692	0.000	1.000	0.000	109.639	0.001
娇兰	None	None	73	52	0	3	0	582.692	0.000	0.750	0.000	109.639	0.001
晚上	None	None	75	219	134	4	10	2454.029	803.319	1.000	1.000	107.976	0.005
双	None	None	76	55	1	3	1	616.309	5.995	0.750	0.100	106.789	0.001
领元	None	None	77	50	0	3	0	560.281	0.000	0.750	0.000	105.421	0.001
洗发水	None	None	78	48	0	2	0	537.869	0.000	0.500	0.000	101.204	0.001
色	None	None	79	55	2	4	2	616.309	11.990	1.000	0.200	100.350	0.001
按钮	None	None	80	44	0	3	0	493.047	0.000	0.750	0.000	92.769	0.001
套	None	None	81	89	24	3	5	997.299	143.878	0.750	0.500	91.363	0.002
详情	None	None	82	50	2	2	2	560.281	11.990	0.500	0.200	90.180	0.001
大家	None	None	83	918	1127	4	10	10286.752	6756.271	1.000	1.000	88.248	0.020
正	None	None	84	65	10	4	5	728.365	59.949	1.000	0.500	86.719	0.001
嘴巴	None	None	85	41	0	4	0	459.430	0.000	1.000	0.000	86.443	0.001
系列	None	None	86	48	2	4	2	537.869	11.990	1.000	0.200	86.122	0.001
他们	None	None	87	401	389	4	10	4493.450	2332.022	1.000	1.000	84.006	0.009
美白	None	None	88	39	0	2	0	437.019	0.000	0.500	0.000	82.225	0.001
下面	None	None	89	84	25	2	7	941.271	149.873	0.500	0.700	81.147	0.002
是的	None	None	90	143	80	4	8	1602.402	479.593	1.000	0.800	78.989	0.003
元	None	None	91	57	8	2	3	638.720	47.959	0.500	0.300	78.544	0.001
正装	None	None	92	36	0	2	0	403.402	0.000	0.500	0.000	75.899	0.001
面霜	None	None	92	36	0	2	0	403.402	0.000	0.500	0.000	75.899	0.001
而且	None	None	94	198	144	4	10	2218.711	863.268	1.000	1.000	75.367	0.004
液体	None	None	95	45	3	2	2	504.253	17.985	0.500	0.200	75.003	0.001
眉笔	None	None	96	35	0	2	0	392.196	0.000	0.500	0.000	73.791	0.001
包装	None	None	97	84	29	4	5	941.271	173.853	1.000	0.500	73.256	0.002
一	None	None	98	1090	1448	4	10	12214.117	8680.639	1.000	1.000	71.776	0.024
明星	None	None	99	34	0	4	0	380.991	0.000	1.000	0.000	71.682	0.001
欧莱雅	None	None	99	34	0	2	0	380.991	0.000	0.500	0.000	71.682	0.001
粉底液	None	None	99	34	0	2	0	380.991	0.000	0.500	0.000	71.682	0.001
化妆蛋	None	None	99	34	0	1	0	380.991	0.000	0.250	0.000	71.682	0.001
一下	None	None	103	417	436	4	10	4672.740	2613.784	1.000	1.000	70.895	0.009
男生	None	None	104	40	2	3	2	448.224	11.990	0.750	0.200	69.966	0.001
防晒	None	None	105	37	1	2	1	414.608	5.995	0.500	0.100	69.616	0.001
同款	None	None	105	37	1	2	1	414.608	5.995	0.500	0.100	69.616	0.001
福利	None	None	107	33	0	2	0	369.785	0.000	0.500	0.000	69.574	0.001
红	None	None	108	66	17	4	7	739.570	101.914	1.000	0.700	69.561	0.001
上方	None	None	109	42	3	3	3	470.636	17.985	0.750	0.300	69.078	0.001
相当于	None	None	110	61	14	2	4	683.542	83.929	0.500	0.400	68.408	0.001
觉得	None	None	111	231	193	4	10	2588.496	1157.019	1.000	1.000	68.113	0.005
备注	None	None	112	32	0	2	0	358.580	0.000	0.500	0.000	67.465	0.001
底妆	None	None	112	32	0	2	0	358.580	0.000	0.500	0.000	67.465	0.001
直接	None	None	114	156	105	4	10	1748.075	629.466	1.000	1.000	67.127	0.003
好用	None	None	115	41	3	4	1	459.430	17.985	1.000	0.100	67.109	0.001
上去	None	None	116	47	6	4	4	526.664	35.969	1.000	0.400	66.799	0.001
厉害	None	None	117	43	4	4	3	481.841	23.980	1.000	0.300	66.727	0.001
眉毛	None	None	118	35	1	1	1	392.196	5.995	0.250	0.100	65.509	0.001
芳丝	None	None	119	31	0	1	0	347.374	0.000	0.250	0.000	65.357	0.001
修复	None	None	120	30	0	2	0	336.168	0.000	0.500	0.000	63.248	0.001
下架	None	None	120	30	0	3	0	336.168	0.000	0.750	0.000	63.248	0.001
鸭脖	None	None	120	30	0	2	0	336.168	0.000	0.500	0.000	63.248	0.001
穿	None	None	123	69	23	4	7	773.187	137.883	1.000	0.700	61.722	0.002
颗	None	None	124	57	14	2	6	638.720	83.929	0.500	0.600	61.677	0.001
这样子	None	None	125	54	12	4	6	605.103	71.939	1.000	0.600	61.550	0.001
拿到	None	None	126	33	1	4	1	369.785	5.995	1.000	0.100	61.408	0.001
芙丽	None	None	127	29	0	1	0	324.963	0.000	0.250	0.000	61.140	0.001
睫毛	None	None	127	29	0	1	0	324.963	0.000	0.250	0.000	61.140	0.001
秒杀	None	None	127	29	0	2	0	324.963	0.000	0.500	0.000	61.140	0.001
一个	None	None	130	832	1086	4	10	9323.069	6510.479	1.000	1.000	59.947	0.018
舒服	None	None	131	61	18	4	8	683.542	107.908	1.000	0.800	59.245	0.001
老公	None	None	132	28	0	3	0	313.757	0.000	0.750	0.000	59.031	0.001
日本	None	None	132	28	0	3	0	313.757	0.000	0.750	0.000	59.031	0.001
盒	None	None	134	110	63	2	8	1232.617	377.680	0.500	0.800	59.025	0.002
